# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS
# DB Description,DIPS Privacy Bounce Tracker
# Table,bounces
# Table Description,bounces
# Total Rows in DB,260
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,258bad98485ff3b2d976702089619d40

site,first_site_storage_time,last_site_storage_time,first_user_activation_time,last_user_activation_time,first_stateful_bounce_time,last_stateful_bounce_time,first_bounce_time,last_bounce_time,first_web_authn_assertion_time,last_web_authn_assertion_time,first_site_storage_time__HUMAN,first_site_storage_time__FORMAT,last_site_storage_time__HUMAN,last_site_storage_time__FORMAT,first_user_activation_time__HUMAN,first_user_activation_time__FORMAT,last_user_activation_time__HUMAN,last_user_activation_time__FORMAT,first_stateful_bounce_time__HUMAN,first_stateful_bounce_time__FORMAT,last_stateful_bounce_time__HUMAN,last_stateful_bounce_time__FORMAT,first_bounce_time__HUMAN,first_bounce_time__FORMAT,last_bounce_time__HUMAN,last_bounce_time__FORMAT,first_web_authn_assertion_time__HUMAN,first_web_authn_assertion_time__FORMAT,last_web_authn_assertion_time__HUMAN,last_web_authn_assertion_time__FORMAT
kit.edu,,,13401440138200597,13474751537544544,,,,,,,,null,,null,2025-09-04 06:15:38 UTC,WebKit (Chrome),2027-12-31 18:32:17 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
notion.com,13401440920006334,13401440976892964,13401440924708990,13401440924708990,,,,,,,2025-09-04 06:28:40 UTC,WebKit (Chrome),2025-09-04 06:29:36 UTC,WebKit (Chrome),2025-09-04 06:28:44 UTC,WebKit (Chrome),2025-09-04 06:28:44 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
standyou.com,13401441347975854,13401441435382167,13401441412923357,13401441412923357,,,,,,,2025-09-04 06:35:47 UTC,WebKit (Chrome),2025-09-04 06:37:15 UTC,WebKit (Chrome),2025-09-04 06:36:52 UTC,WebKit (Chrome),2025-09-04 06:36:52 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
arquivo.pt,13401441483757284,13401441501857616,,,,,,,,,2025-09-04 06:38:03 UTC,WebKit (Chrome),2025-09-04 06:38:21 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
dges.gov.pt,13401441483924127,13401442418048861,13401441454847813,13401442398599964,,,,,,,2025-09-04 06:38:03 UTC,WebKit (Chrome),2025-09-04 06:53:38 UTC,WebKit (Chrome),2025-09-04 06:37:34 UTC,WebKit (Chrome),2025-09-04 06:53:18 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
whatismyipaddress.com,13401443263411523,13401443264104968,,,,,,,,,2025-09-04 07:07:43 UTC,WebKit (Chrome),2025-09-04 07:07:44 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
chinacloudapi.cn,,,13401445558390432,13401445618408403,,,,,,,,null,,null,2025-09-04 07:45:58 UTC,WebKit (Chrome),2025-09-04 07:46:58 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
dges.ca,13401442426929723,13401538232548175,13401442438273966,13401538224052066,,,,,,,2025-09-04 06:53:46 UTC,WebKit (Chrome),2025-09-05 09:30:32 UTC,WebKit (Chrome),2025-09-04 06:53:58 UTC,WebKit (Chrome),2025-09-05 09:30:24 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
ocr.space,13401559773233480,13401559773233480,13401559724384790,13401559724384790,,,,,,,2025-09-05 15:29:33 UTC,WebKit (Chrome),2025-09-05 15:29:33 UTC,WebKit (Chrome),2025-09-05 15:28:44 UTC,WebKit (Chrome),2025-09-05 15:28:44 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
sider.ai,13401559968830945,13401560000108462,13401559976588046,13401559976588046,,,,,,,2025-09-05 15:32:48 UTC,WebKit (Chrome),2025-09-05 15:33:20 UTC,WebKit (Chrome),2025-09-05 15:32:56 UTC,WebKit (Chrome),2025-09-05 15:32:56 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
imagetotext.info,13401559642870500,13401561625776420,13401559606711998,13401561198949293,,,,,,,2025-09-05 15:27:22 UTC,WebKit (Chrome),2025-09-05 16:00:25 UTC,WebKit (Chrome),2025-09-05 15:26:46 UTC,WebKit (Chrome),2025-09-05 15:53:18 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
braflixtv.tube,13401366226126958,13401569931746042,13401569937594291,13401569937594291,,,,,,,2025-09-03 09:43:46 UTC,WebKit (Chrome),2025-09-05 18:18:51 UTC,WebKit (Chrome),2025-09-05 18:18:57 UTC,WebKit (Chrome),2025-09-05 18:18:57 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
oneforma.com,13401442927420943,13401617262261756,13401442926076774,13401563033704426,,,,,,,2025-09-04 07:02:07 UTC,WebKit (Chrome),2025-09-06 07:27:42 UTC,WebKit (Chrome),2025-09-04 07:02:06 UTC,WebKit (Chrome),2025-09-05 16:23:53 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
kitaabun.com,13401621663795003,13401621669203060,13401621622920973,13401621622920973,,,,,,,2025-09-06 08:41:03 UTC,WebKit (Chrome),2025-09-06 08:41:09 UTC,WebKit (Chrome),2025-09-06 08:40:22 UTC,WebKit (Chrome),2025-09-06 08:40:22 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
islamicbooks.website,,,13401621723724047,13401621783814707,,,,,,,,null,,null,2025-09-06 08:42:03 UTC,WebKit (Chrome),2025-09-06 08:43:03 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
archive.org,13401621833102595,13401621834845494,13401621840313477,13401621840313477,,,,,,,2025-09-06 08:43:53 UTC,WebKit (Chrome),2025-09-06 08:43:54 UTC,WebKit (Chrome),2025-09-06 08:44:00 UTC,WebKit (Chrome),2025-09-06 08:44:00 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
emaanlibrary.com,,,13401621874130235,13401621998928757,,,,,,,,null,,null,2025-09-06 08:44:34 UTC,WebKit (Chrome),2025-09-06 08:46:38 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
oaistatic.com,13399500631930673,13401622999180780,,,,,,,,,2025-08-12 19:30:31 UTC,WebKit (Chrome),2025-09-06 09:03:19 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
mailgun.com,13401624634849473,13401624660562806,13401624642505892,13401624663577925,,,,,,,2025-09-06 09:30:34 UTC,WebKit (Chrome),2025-09-06 09:31:00 UTC,WebKit (Chrome),2025-09-06 09:30:42 UTC,WebKit (Chrome),2025-09-06 09:31:03 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
study.com,13401627192771299,13401627238179242,13401627182008783,13401627261233520,,,,,,,2025-09-06 10:13:12 UTC,WebKit (Chrome),2025-09-06 10:13:58 UTC,WebKit (Chrome),2025-09-06 10:13:02 UTC,WebKit (Chrome),2025-09-06 10:14:21 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
encryptomatic.com,13401627511035257,13401627951645928,13401627548085948,13401627939777682,,,,,,,2025-09-06 10:18:31 UTC,WebKit (Chrome),2025-09-06 10:25:51 UTC,WebKit (Chrome),2025-09-06 10:19:08 UTC,WebKit (Chrome),2025-09-06 10:25:39 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
zoho.com,13401627956393697,13401627956393697,13401628074316329,13401628074316329,,,,,,,2025-09-06 10:25:56 UTC,WebKit (Chrome),2025-09-06 10:25:56 UTC,WebKit (Chrome),2025-09-06 10:27:54 UTC,WebKit (Chrome),2025-09-06 10:27:54 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
sparkle.io,13401624490101353,13401628769469007,13401628767891401,13401628767891401,,,,,,,2025-09-06 09:28:10 UTC,WebKit (Chrome),2025-09-06 10:39:29 UTC,WebKit (Chrome),2025-09-06 10:39:27 UTC,WebKit (Chrome),2025-09-06 10:39:27 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
letsphish.com,13401624184253337,13401624184253337,13401624186019762,13401631571415708,,,,,,,2025-09-06 09:23:04 UTC,WebKit (Chrome),2025-09-06 09:23:04 UTC,WebKit (Chrome),2025-09-06 09:23:06 UTC,WebKit (Chrome),2025-09-06 11:26:11 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
ticketdesk.ai,13401624514364329,13401635954138144,13401624517491042,13401636097117571,,,,,,,2025-09-06 09:28:34 UTC,WebKit (Chrome),2025-09-06 12:39:14 UTC,WebKit (Chrome),2025-09-06 09:28:37 UTC,WebKit (Chrome),2025-09-06 12:41:37 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
easydmarc.com,13401624695445793,13401641627555316,13401624709493361,13401631017648855,,,,,,,2025-09-06 09:31:35 UTC,WebKit (Chrome),2025-09-06 14:13:47 UTC,WebKit (Chrome),2025-09-06 09:31:49 UTC,WebKit (Chrome),2025-09-06 11:16:57 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
pinetools.com,13401641057691462,13401645220812678,13401640448535891,13401645651254799,,,,,,,2025-09-06 14:04:17 UTC,WebKit (Chrome),2025-09-06 15:13:40 UTC,WebKit (Chrome),2025-09-06 13:54:08 UTC,WebKit (Chrome),2025-09-06 15:20:51 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
dazn.com,13401646080559763,13401646090740111,13401646092862991,13401646157978852,,,,,,,2025-09-06 15:28:00 UTC,WebKit (Chrome),2025-09-06 15:28:10 UTC,WebKit (Chrome),2025-09-06 15:28:12 UTC,WebKit (Chrome),2025-09-06 15:29:17 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
emlreader.com,13401635686332894,13401644991017154,13401627809701402,13401647902551968,,,,,,,2025-09-06 12:34:46 UTC,WebKit (Chrome),2025-09-06 15:09:51 UTC,WebKit (Chrome),2025-09-06 10:23:29 UTC,WebKit (Chrome),2025-09-06 15:58:22 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
programiz.com,13401624907681729,13401647930213246,13401624935221111,13401647948038141,,,,,,,2025-09-06 09:35:07 UTC,WebKit (Chrome),2025-09-06 15:58:50 UTC,WebKit (Chrome),2025-09-06 09:35:35 UTC,WebKit (Chrome),2025-09-06 15:59:08 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
onecompiler.com,13401647978776461,13401647978776461,13401647974061714,13401647974061714,,,,,,,2025-09-06 15:59:38 UTC,WebKit (Chrome),2025-09-06 15:59:38 UTC,WebKit (Chrome),2025-09-06 15:59:34 UTC,WebKit (Chrome),2025-09-06 15:59:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
codechef.com,13401648008162043,13401648008490669,,,,,,,,,2025-09-06 16:00:08 UTC,WebKit (Chrome),2025-09-06 16:00:08 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
scorebat.com,13401646218950779,13401648092084450,13401646223637735,13401648077611663,,,,,,,2025-09-06 15:30:18 UTC,WebKit (Chrome),2025-09-06 16:01:32 UTC,WebKit (Chrome),2025-09-06 15:30:23 UTC,WebKit (Chrome),2025-09-06 16:01:17 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
fancode.com,13401648106570324,13401648122976564,13401648109022037,13401648109022037,,,,,,,2025-09-06 16:01:46 UTC,WebKit (Chrome),2025-09-06 16:02:02 UTC,WebKit (Chrome),2025-09-06 16:01:49 UTC,WebKit (Chrome),2025-09-06 16:01:49 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
goal.com,13401648127473794,13401648314672035,13401648131378992,13401648131378992,,,,,,,2025-09-06 16:02:07 UTC,WebKit (Chrome),2025-09-06 16:05:14 UTC,WebKit (Chrome),2025-09-06 16:02:11 UTC,WebKit (Chrome),2025-09-06 16:02:11 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
livesoccertv.com,13401648326227294,13401648337538452,13401648332163802,13401648332163802,,,,,,,2025-09-06 16:05:26 UTC,WebKit (Chrome),2025-09-06 16:05:37 UTC,WebKit (Chrome),2025-09-06 16:05:32 UTC,WebKit (Chrome),2025-09-06 16:05:32 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
fifa.com,13401648340756782,13401648349211413,13401648346470313,13401648346470313,,,,,,,2025-09-06 16:05:40 UTC,WebKit (Chrome),2025-09-06 16:05:49 UTC,WebKit (Chrome),2025-09-06 16:05:46 UTC,WebKit (Chrome),2025-09-06 16:05:46 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
emzsport.com,13401648363512974,13401648405807243,13401648370840534,13401648370840534,,,,,,,2025-09-06 16:06:03 UTC,WebKit (Chrome),2025-09-06 16:06:45 UTC,WebKit (Chrome),2025-09-06 16:06:10 UTC,WebKit (Chrome),2025-09-06 16:06:10 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
espn.com,13401648412222361,13401648449527010,13401648418415141,13401648418415141,,,,,,,2025-09-06 16:06:52 UTC,WebKit (Chrome),2025-09-06 16:07:29 UTC,WebKit (Chrome),2025-09-06 16:06:58 UTC,WebKit (Chrome),2025-09-06 16:06:58 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
w3schools.com,13401648544519344,13401650753641800,13401648550846208,13401648559113766,,,,,,,2025-09-06 16:09:04 UTC,WebKit (Chrome),2025-09-06 16:45:53 UTC,WebKit (Chrome),2025-09-06 16:09:10 UTC,WebKit (Chrome),2025-09-06 16:09:19 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
ubuntu.com,13401700366555615,13401700614939364,13401700368977280,13401700638866657,,,,,,,2025-09-07 06:32:46 UTC,WebKit (Chrome),2025-09-07 06:36:54 UTC,WebKit (Chrome),2025-09-07 06:32:48 UTC,WebKit (Chrome),2025-09-07 06:37:18 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
gartner.com,13401706635210282,13401706683544266,13401706636202927,13401706636202927,,,,,,,2025-09-07 08:17:15 UTC,WebKit (Chrome),2025-09-07 08:18:03 UTC,WebKit (Chrome),2025-09-07 08:17:16 UTC,WebKit (Chrome),2025-09-07 08:17:16 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
stackshare.io,13401706812740573,13401706849667662,13401706823301457,13401706823301457,,,,,,,2025-09-07 08:20:12 UTC,WebKit (Chrome),2025-09-07 08:20:49 UTC,WebKit (Chrome),2025-09-07 08:20:23 UTC,WebKit (Chrome),2025-09-07 08:20:23 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
