# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segment_usage
# Table Description,segment_usage
# Total Rows in DB,252
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,segment_id,time_slot,visit_count,time_slot__HUMAN,time_slot__FORMAT,visit_count__HUMAN,visit_count__FORMAT
87,26,13401052200000000,3,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
88,20,13401052200000000,1,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
89,48,13401052200000000,5,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
90,37,13401052200000000,2,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
91,49,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
92,18,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
93,50,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
94,51,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
95,52,13401138600000000,6,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
96,53,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
97,54,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
98,9,13401138600000000,2,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
99,55,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
100,56,13401138600000000,3,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
101,57,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
102,58,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
103,59,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
104,60,13401138600000000,1,2025-08-31 18:30:00 UTC,WebKit (Chrome),,unknown
105,61,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
106,62,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
107,63,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
108,64,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
109,65,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
110,66,13401225000000000,2,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
111,67,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
112,68,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
113,56,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
114,69,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
115,70,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
116,71,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
117,72,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
